Required fields,,,,,,,,,,,,,,,,,,,,,,,,0
,,RF,,,,RF,,,,RF,,,,RF,,,,RF,,,,,,
,,,CHANNEL,D2800,,,CHANNEL,D3000,,,WORD,H100,,,CHANNEL,W100,,,BOOL,T0,,,,
,,,CHANNEL,D2801,,,CHANNEL,D3001,,,BOOL,H100.00,,,BOOL,W100.00,,,BOOL,T1,,,,
,,,CHANNEL,D2802,,,CHANNEL,D3002,,,BOOL,H100.01,,,BOOL,W100.01,,,BOOL,T2,,,,
,,,CHANNEL,D2803,,,CHANNEL,D3003,,,BOOL,H100.02,,,BOOL,W100.02,,,BOOL,T3,,,,
,,,CHANNEL,D2804,,,CHANNEL,D3004,,,BOOL,H100.03,,,BOOL,W100.03,,,BOOL,T4,,,,
,,,CHANNEL,D2805,,,CHANNEL,D3005,,,BOOL,H100.04,,,BOOL,W100.04,,,BOOL,T5,,,,
,,,CHANNEL,D2806,,,CHANNEL,D3006,,,BOOL,H100.05,,,BOOL,W100.05,,,BOOL,T6,,,,
,,,CHANNEL,D2807,,,CHANNEL,D3007,,,BOOL,H100.06,,,BOOL,W100.06,,,BOOL,T7,,,,
,,,CHANNEL,D2808,,,CHANNEL,D3008,,,BOOL,H100.07,,,BOOL,W100.07,,,BOOL,T8,,,,
,,,CHANNEL,D2809,,,CHANNEL,D3009,,,BOOL,H100.08,,,BOOL,W100.08,,,BOOL,T9,,,,
,,,CHANNEL,D2810,,,CHANNEL,D3010,,,BOOL,H100.09,,,BOOL,W100.09,,,BOOL,T10,,,,
,,,CHANNEL,D2811,,,CHANNEL,D3011,,,BOOL,H100.10,,,BOOL,W100.10,,,BOOL,T11,,,,
,,,CHANNEL,D2812,,,CHANNEL,D3012,,,BOOL,H100.11,,,BOOL,W100.11,,,BOOL,T12,,,,
,,,CHANNEL,D2813,,,CHANNEL,D3013,,,BOOL,H100.12,,,BOOL,W100.12,,,BOOL,T13,,,,
,,,CHANNEL,D2814,,,CHANNEL,D3014,,,BOOL,H100.13,,,BOOL,W100.13,,,BOOL,T14,,,,
,,,CHANNEL,D2815,,,CHANNEL,D3015,,,BOOL,H100.14,,,BOOL,W100.14,,,BOOL,T15,,,,
,,,CHANNEL,D2816,,,CHANNEL,D3016,,,BOOL,H100.15,,,BOOL,W100.15,,,BOOL,T16,,,,
,,,CHANNEL,D2817,,,CHANNEL,D3017,,,WORD,H101,,,CHANNEL,W101,,,BOOL,T17,,,,
,,,CHANNEL,D2818,,,CHANNEL,D3018,,,BOOL,H101.00,,,BOOL,W101.00,,,BOOL,T18,,,,
,,,CHANNEL,D2819,,,CHANNEL,D3019,,,BOOL,H101.01,,,BOOL,W101.01,,,BOOL,T19,,,,
,,,CHANNEL,D2820,,,CHANNEL,D3020,,,BOOL,H101.02,,,BOOL,W101.02,,,,,,,,
,,,CHANNEL,D2821,,,CHANNEL,D3021,,,BOOL,H101.03,,,BOOL,W101.03,,,,,,,,
,,,CHANNEL,D2822,,,CHANNEL,D3022,,,BOOL,H101.04,,,BOOL,W101.04,,,,,,,,
,,,CHANNEL,D2823,,,CHANNEL,D3023,,,BOOL,H101.05,,,BOOL,W101.05,,,,,,,,
,,,CHANNEL,D2824,,,CHANNEL,D3024,,,BOOL,H101.06,,,BOOL,W101.06,,,,,,,,
,,,CHANNEL,D2825,,,CHANNEL,D3025,,,BOOL,H101.07,,,BOOL,W101.07,,,,,,,,
,,,CHANNEL,D2826,,,CHANNEL,D3026,,,BOOL,H101.08,,,BOOL,W101.08,,,,,,,,
,,,CHANNEL,D2827,,,CHANNEL,D3027,,,BOOL,H101.09,,,BOOL,W101.09,,,,,,,,
,,,CHANNEL,D2828,,,CHANNEL,D3028,,,BOOL,H101.10,,,BOOL,W101.10,,,,,,,,
,,,CHANNEL,D2829,,,CHANNEL,D3029,,,BOOL,H101.11,,,BOOL,W101.11,,,,,,,,
,,,CHANNEL,D2830,,,CHANNEL,D3030,,,BOOL,H101.12,,,BOOL,W101.12,,,,,,,,
,,,CHANNEL,D2831,,,CHANNEL,D3031,,,BOOL,H101.13,,,BOOL,W101.13,,,,,,,,
,,,CHANNEL,D2832,,,CHANNEL,D3032,,,BOOL,H101.14,,,BOOL,W101.14,,,,,,,,
,,,CHANNEL,D2833,,,CHANNEL,D3033,,,BOOL,H101.15,,,BOOL,W101.15,,,,,,,,
,,,CHANNEL,D2834,,,CHANNEL,D3034,,,WORD,H102,,,CHANNEL,W102,,,,,,,,
,,,CHANNEL,D2835,,,CHANNEL,D3035,,,BOOL,H102.00,,,BOOL,W102.00,,,,,,,,
,,,CHANNEL,D2836,,,CHANNEL,D3036,,,BOOL,H102.01,,,BOOL,W102.01,,,,,,,,
,,,CHANNEL,D2837,,,CHANNEL,D3037,,,BOOL,H102.02,,,BOOL,W102.02,,,,,,,,
